airline.name,departure.airport,arrival.airport,day_of_week,month,departure_hour,scheduled_duration,is_delayed
167,84,344,3,4,16,85.0,0
57,196,62,3,4,3,72.0,0
115,202,172,3,4,15,70.0,0
202,106,282,3,4,13,65.0,0
52,106,185,3,4,13,195.0,0
213,401,55,3,4,13,85.0,0
213,401,283,3,4,13,95.0,1
208,99,380,3,4,8,63.0,0
208,99,153,3,4,8,164.0,0
208,99,303,3,4,8,106.0,0
208,99,309,3,4,8,84.0,0
208,99,72,3,4,7,175.0,0
208,99,329,3,4,7,78.0,0
53,148,263,3,4,8,30.0,0
153,383,168,3,4,16,200.0,0
68,73,328,3,4,10,285.0,0
4,180,314,3,4,14,210.0,0
55,98,86,3,4,16,75.0,0
228,219,243,3,4,6,130.0,0
211,89,355,3,4,13,65.0,0
211,412,64,3,4,14,55.0,0
71,134,205,3,4,9,95.0,0
208,78,69,3,4,9,71.0,0
108,35,332,3,4,9,105.0,0
167,403,48,3,4,17,60.0,0
52,331,185,3,4,14,60.0,0
115,202,268,3,4,15,85.0,1
154,276,22,3,4,16,40.0,0
108,326,227,3,4,8,60.0,0
227,183,309,3,4,1,60.0,0
173,3,25,3,4,7,80.0,0
89,3,25,3,4,7,80.0,0
217,3,25,3,4,7,80.0,0
123,202,251,3,4,15,115.0,0
123,299,21,3,4,16,115.0,0
167,11,344,3,4,16,80.0,0
167,411,344,3,4,16,70.0,0
167,109,344,3,4,16,70.0,0
66,403,225,3,4,17,95.0,0
65,403,225,3,4,17,95.0,0
208,335,57,3,4,9,112.0,0
68,73,250,3,4,14,150.0,0
222,73,250,3,4,14,150.0,0
66,73,250,3,4,14,150.0,0
182,73,250,3,4,14,150.0,0
208,185,375,3,4,9,114.0,0
89,73,318,3,4,12,165.0,0
181,73,318,3,4,12,165.0,0
66,73,318,3,4,12,165.0,0
222,73,318,3,4,12,165.0,0
68,73,318,3,4,12,165.0,0
182,73,318,3,4,12,165.0,0
181,369,294,3,4,15,110.0,0
66,369,294,3,4,15,110.0,0
182,369,294,3,4,15,110.0,0
68,369,294,3,4,15,110.0,0
222,369,294,3,4,15,110.0,0
116,168,85,3,4,7,190.0,0
113,66,308,3,4,8,91.0,0
101,194,27,3,4,12,150.0,0
181,464,27,3,4,12,160.0,0
222,37,317,3,4,15,140.0,0
127,37,317,3,4,15,140.0,0
182,37,317,3,4,15,140.0,0
208,135,97,3,4,10,60.0,0
183,135,97,3,4,10,60.0,0
34,135,97,3,4,10,60.0,0
208,135,393,3,4,9,60.0,0
183,135,393,3,4,9,60.0,0
141,135,393,3,4,9,60.0,0
33,135,393,3,4,9,60.0,0
183,73,328,3,4,10,300.0,0
146,380,185,3,4,15,80.0,0
105,228,266,3,4,15,50.0,0
222,73,317,3,4,12,165.0,0
211,89,355,3,4,13,65.0,0
228,219,187,3,4,6,40.0,0
116,294,125,3,4,15,110.0,0
116,410,125,3,4,15,85.0,0
116,161,223,3,4,15,90.0,0
116,161,351,3,4,15,80.0,0
61,406,95,3,4,14,80.0,0
111,365,39,3,4,8,45.0,0
177,365,39,3,4,8,45.0,0
66,365,39,3,4,8,45.0,0
146,365,39,3,4,8,45.0,0
222,365,39,3,4,8,45.0,0
129,365,39,3,4,8,45.0,0
97,365,39,3,4,8,45.0,0
77,365,39,3,4,8,45.0,0
208,70,39,3,4,8,60.0,0
116,269,125,3,4,14,125.0,0
222,73,126,3,4,12,160.0,1
69,73,126,3,4,12,160.0,1
182,73,126,3,4,12,160.0,1
19,162,294,3,4,15,115.0,0
203,162,294,3,4,15,115.0,0
67,162,294,3,4,15,115.0,0
181,162,294,3,4,15,115.0,0
4,74,164,3,4,15,105.0,0
145,226,58,3,4,8,40.0,0
227,417,119,3,4,15,50.0,0
52,413,182,3,4,14,55.0,0
167,1,381,3,4,16,50.0,0
116,161,59,3,4,15,90.0,0
116,79,125,3,4,15,105.0,0
70,121,121,3,4,9,95.0,0
88,131,24,3,4,3,76.0,0
227,260,44,3,4,16,15.0,1
123,299,101,3,4,15,135.0,0
116,161,101,3,4,15,115.0,0
1,387,22,3,4,9,50.0,0
116,79,147,3,4,15,115.0,0
71,386,97,3,4,8,135.0,0
34,81,5,3,4,15,80.0,0
222,316,60,3,4,13,140.0,0
140,316,60,3,4,13,140.0,0
68,316,60,3,4,13,140.0,0
146,168,85,3,4,7,190.0,0
168,168,39,3,4,7,130.0,1
178,261,279,3,4,8,38.0,0
38,290,144,3,4,2,93.0,0
167,262,344,3,4,17,115.0,0
88,322,352,3,4,3,67.0,0
217,35,393,3,4,8,140.0,0
116,35,393,3,4,8,140.0,0
195,35,393,3,4,8,140.0,0
39,35,393,3,4,8,140.0,0
54,35,85,3,4,8,80.0,0
39,35,85,3,4,8,80.0,0
149,35,85,3,4,8,80.0,0
217,35,85,3,4,8,80.0,0
168,35,85,3,4,8,80.0,0
133,35,85,3,4,8,80.0,0
208,35,97,3,4,8,155.0,0
201,35,97,3,4,8,155.0,0
183,35,97,3,4,8,155.0,0
45,35,97,3,4,8,155.0,0
17,35,97,3,4,8,155.0,0
39,35,132,3,4,8,85.0,0
86,35,393,3,4,7,135.0,0
8,35,393,3,4,7,135.0,0
54,35,85,3,4,7,80.0,0
149,35,85,3,4,7,80.0,0
224,35,85,3,4,7,80.0,0
89,35,85,3,4,7,80.0,0
39,35,85,3,4,7,80.0,0
168,35,85,3,4,7,80.0,0
217,35,85,3,4,7,80.0,0
133,35,85,3,4,7,80.0,0
111,403,225,3,4,17,95.0,0
23,403,225,3,4,17,95.0,0
83,403,225,3,4,17,95.0,0
183,403,225,3,4,17,95.0,0
24,403,37,3,4,17,90.0,0
183,403,37,3,4,17,90.0,0
24,403,225,3,4,17,95.0,0
183,403,225,3,4,17,95.0,0
167,403,334,3,4,16,55.0,0
93,289,260,3,4,7,75.0,1
111,365,132,3,4,8,25.0,0
218,365,132,3,4,8,25.0,0
215,365,132,3,4,8,25.0,0
222,365,132,3,4,8,25.0,0
97,365,132,3,4,8,25.0,0
77,365,132,3,4,8,25.0,0
111,365,97,3,4,8,70.0,0
214,365,97,3,4,8,70.0,0
175,365,97,3,4,8,70.0,0
222,365,97,3,4,8,70.0,0
97,365,97,3,4,8,70.0,0
77,365,97,3,4,8,70.0,0
71,70,97,3,4,8,90.0,0
16,414,355,3,4,14,65.0,0
166,332,162,3,4,16,65.0,0
167,424,215,3,4,16,55.0,0
128,365,39,3,4,8,85.0,0
78,407,315,3,4,14,65.0,0
116,223,125,3,4,15,105.0,0
222,227,324,3,4,15,95.0,0
182,227,324,3,4,15,95.0,0
227,338,272,3,4,9,170.0,0
66,70,393,3,4,8,75.0,0
129,70,393,3,4,8,75.0,0
77,70,393,3,4,8,75.0,0
8,70,393,3,4,8,75.0,0
68,450,120,3,4,15,90.0,0
102,450,120,3,4,15,90.0,0
182,450,120,3,4,15,90.0,0
66,450,120,3,4,15,90.0,0
127,450,120,3,4,15,90.0,0
67,450,120,3,4,15,90.0,0
123,204,246,3,4,15,135.0,0
226,47,235,3,4,8,85.0,0
167,102,225,3,4,17,70.0,0
183,268,344,3,4,17,85.0,0
37,268,344,3,4,17,90.0,0
65,268,344,3,4,17,90.0,0
111,268,344,3,4,17,90.0,0
23,268,344,3,4,17,90.0,0
83,268,344,3,4,17,90.0,0
161,31,90,3,4,16,36.0,1
161,357,90,3,4,16,26.0,0
111,256,277,3,4,11,145.0,0
162,406,259,3,4,14,90.0,0
114,198,176,3,4,9,60.0,0
200,286,363,3,4,16,109.0,0
222,38,317,3,4,15,150.0,0
69,38,317,3,4,15,150.0,0
68,38,317,3,4,15,150.0,0
202,297,76,3,4,13,75.0,0
202,167,76,3,4,12,85.0,1
202,429,76,3,4,12,75.0,1
181,73,189,3,4,13,95.0,0
179,73,189,3,4,13,95.0,0
202,106,131,3,4,13,90.0,0
202,106,248,3,4,13,80.0,0
140,73,126,3,4,12,150.0,0
208,430,57,3,4,8,74.0,0
202,210,76,3,4,12,65.0,0
35,53,383,3,4,17,85.0,0
215,32,145,3,4,13,80.0,0
116,32,145,3,4,13,80.0,0
86,414,343,3,4,12,70.0,0
155,401,179,3,4,13,65.0,0
206,401,179,3,4,13,65.0,0
201,401,179,3,4,13,65.0,0
168,401,179,3,4,13,65.0,0
90,401,355,3,4,13,90.0,1
129,401,189,3,4,13,210.0,0
88,107,229,3,4,1,101.0,0
183,268,344,3,4,17,85.0,0
37,268,344,3,4,17,90.0,0
39,268,344,3,4,17,90.0,0
23,268,344,3,4,17,90.0,0
83,268,344,3,4,17,90.0,0
65,268,344,3,4,17,90.0,0
111,268,344,3,4,17,90.0,0
183,268,344,3,4,17,85.0,0
37,268,344,3,4,16,90.0,0
66,268,344,3,4,16,90.0,0
39,268,344,3,4,16,90.0,0
65,268,344,3,4,16,90.0,0
111,268,344,3,4,16,90.0,0
23,268,344,3,4,16,90.0,0
83,268,344,3,4,16,90.0,0
39,268,37,3,4,16,140.0,0
111,268,37,3,4,16,140.0,0
23,268,37,3,4,16,140.0,0
83,268,37,3,4,16,140.0,0
183,268,344,3,4,16,85.0,0
21,268,344,3,4,16,85.0,0
37,268,344,3,4,16,90.0,0
111,268,344,3,4,16,90.0,0
83,268,344,3,4,16,90.0,0
23,268,344,3,4,16,90.0,0
59,268,344,3,4,16,90.0,0
167,268,236,3,4,15,80.0,1
213,94,343,3,4,13,105.0,0
227,109,38,3,4,16,96.0,0
128,119,83,3,4,8,85.0,0
108,35,227,3,4,7,115.0,0
132,35,85,3,4,7,85.0,0
